id,code,status
1049,131,0
1050,132,0
1051,132,0
1052,133,0
1053,134,0
1054,136,0
1056,141,0
1058,143,0
1059,144,0
1060,145,0
1061,145,0
1062,146,0
1063,147,0
1064,151,0
1065,151,0
1066,153,0
1067,154,0
1068,157,0
1069,158,0
1070,160,0
1072,164,0
1073,165,0
1074,166,0
1075,168,0
1076,169,0
1077,170,0
1078,171,0
1079,172,0
1080,173,0
1081,174,0
1082,176,0
1083,178,0
1084,180,0
1086,189,0
1087,190,0
1089,191,0
1090,192,0
1091,193,0
1092,194,0
1093,196,0
1094,196,0
1095,206,0
1096,207,0
1097,208,0
1098,209,0
1099,210,0
1100,214,0
1101,215,0
1102,216,0
1103,219,0
1104,219,0
1105,221,0
1106,248,0
1108,249,0
1109,251,0
1111,255,0
1112,256,0
1114,256,0
1115,257,0
1116,258,0
1117,259,0
1118,267,0
1119,267,0
1122,285,0
1123,285,0
1124,287,0
1125,289,0
1126,289,0
1127,294,0
1128,294,0
1129,297,0
1130,298,0
1131,299,0
1132,300,0
1133,302,0
1134,306,0
1135,308,0
1136,309,0
1137,310,0
1139,311,0
1140,312,0
1141,313,0
1142,314,0
1143,315,0
1144,316,0
1145,319,0
1146,325,0
1148,326,0
1149,331,0
1151,332,0
1152,334,0
1153,335,0
1154,336,0
1155,337,0
1156,338,0
1157,339,0
1158,340,0
1159,341,0
1160,359,0
1161,360,0
1162,361,0
1163,361,0
1164,363,0
1165,364,0
1166,365,0
1167,366,0
1168,368,0
1169,368,0
1170,370,0
1171,371,0
1173,373,0
1175,373,0
1177,377,0
1178,378,0
1179,380,0
1181,384,0
1182,384,0
1183,387,0
1184,392,0
1185,392,0
1186,395,0
1187,399,0
1188,400,0
1189,401,0
1191,403,0
1192,404,0
1193,405,0
1194,406,0
1196,407,0
1197,449,0
1198,450,0
1199,454,0
1200,455,0
1201,455,0
1203,458,0
1204,459,0
1205,460,0
1207,461,0
1209,462,0
1210,463,0
1211,467,0
1212,468,0
1213,468,0
1214,470,0
1215,471,0
1216,473,0
1217,473,0
1218,473,0
1221,474,0
1222,475,0
1223,476,0
1224,477,0
1225,478,0
1226,479,0
1227,486,0
1228,486,0
1230,488,0
1231,489,0
1232,492,0
1233,495,0
1234,496,0
1235,497,0
1236,590,0
1237,591,0
1239,591,0
1241,635,0
1242,636,0
1245,638,0
1246,640,0
1247,641,0
1248,644,0
1249,645,0
1250,648,0
1251,648,0
1252,650,0
1253,651,0
1254,652,0
1257,654,0
1258,656,0
1259,656,0
1260,656,0
1261,659,0
1262,661,0
1263,663,0
1264,663,0
1265,667,0
1266,669,0
1267,670,0
1268,670,0
1269,672,0
1270,673,0
1271,675,0
1272,676,0
1273,677,0
1275,678,0
1276,679,0
1277,679,0
1278,683,0
1279,684,0
1280,685,0
1281,686,0
1282,687,0
1283,689,0
1284,692,0
1285,694,0
1286,695,0
1287,696,0
1292,699,0
1293,700,0
1294,701,0
1295,703,0
1296,704,0
1297,702,0
1298,705,0
1299,706,0
1300,707,0
1301,708,0
1302,710,0
1303,711,0
1304,711,0
1305,714,0
1306,715,0
1307,716,0
1308,717,0
1309,723,0
1310,725,0
1311,727,0
1312,728,0
1313,729,0
1314,730,0
1315,731,0
1316,732,0
1317,734,0
1318,735,0
1319,738,0
1320,740,0
1321,741,0
1324,741,0
1325,742,0
1326,743,0
1327,743,0
1328,743,0
1329,743,0
1331,754,0
1332,756,0
1333,756,0
1334,757,0
1335,758,0
1336,759,0
1337,760,0
1338,761,0
1339,762,0
1340,763,0
1341,764,0
1342,765,0
1343,765,0
1344,767,0
1345,768,0
1346,846,0
1347,769,0
1348,770,0
1349,771,0
1350,772,0
1351,773,0
1352,774,0
1353,775,0
1354,776,0
1355,777,0
1356,778,0
1357,779,0
1358,847,0
1359,847,0
1360,782,0
1361,783,0
1362,784,0
1363,785,0
1364,786,0
1365,787,0
1366,788,0
1367,789,0
1368,789,0
1369,791,0
1370,792,0
1371,793,0
1372,793,0
1373,795,0
1374,796,0
1375,800,0
1376,801,0
1377,802,0
1378,803,0
1379,804,0
1380,804,0
1381,806,0
1382,807,0
1383,807,0
1384,809,0
1385,810,0
1386,811,0
1387,811,0
1388,848,0
1389,813,0
1390,814,0
1391,815,0
1392,816,0
1393,817,0
1394,849,0
1395,818,0
1396,819,0
1397,820,0
1398,821,0
1399,898,0
1400,822,0
1401,823,0
1402,824,0
1403,825,0
1404,826,0
1405,827,0
1406,828,0
1407,829,0
1408,830,0
1409,831,0
1410,832,0
1411,833,0
1412,836,0
1413,834,0
1414,837,0
1415,835,0
1416,838,0
1417,844,0
1418,839,0
1419,840,0
1420,841,0
1421,901,0
1422,901,0
1423,843,0
1424,843,0
1425,845,0
1426,850,0
1427,851,0
1428,852,0
1429,853,0
1430,854,0
1431,855,0
1432,856,0
1433,857,0
1434,858,0
1435,859,0
1436,860,0
1437,861,0
1438,862,0
1439,863,0
1440,864,0
1441,865,0
1442,866,0
1443,899,0
1444,867,0
1445,868,0
1446,869,0
1447,870,0
1448,871,0
1449,871,0
1450,873,0
1451,874,0
1452,875,0
1453,876,0
1454,877,0
1455,878,0
1456,879,0
1457,880,0
1458,880,0
1459,882,0
1460,883,0
1461,884,0
1462,885,0
1463,886,0
1464,887,0
1465,888,0
1466,889,0
1467,890,0
1468,891,0
1469,891,0
1470,891,0
1471,893,0
1472,894,0
1473,895,0
1474,896,0
1475,897,0
1476,904,0
1477,904,0
1478,903,0
1479,903,0
1480,903,0
1481,905,0
1482,906,0
1483,907,0
1484,907,0
1485,907,0
1486,908,0
1488,908,0
1489,908,0
1490,908,0
1491,909,0
1492,910,0
1493,910,0
1495,910,0
1496,912,0
1497,912,0
1498,912,0
1499,912,0
1500,913,0
1501,913,0
1502,913,0
1503,913,0
1504,914,0
1505,915,0
1506,916,0
1507,916,0
1508,918,0
1510,919,0
1511,920,0
1512,921,0
1513,922,0
1514,922,0
1515,924,0
1516,925,0
1517,925,0
1519,927,0
1520,928,0
1521,939,0
1522,941,0
1524,942,0
1525,943,0
1526,944,0
1527,944,0
1528,946,0
1529,947,0
1530,948,0
1531,949,0
1532,950,0
1533,951,0
1534,952,0
1535,953,0
1536,954,0
1537,955,0
1538,956,0
1539,957,0
1540,958,0
1541,959,0
1542,960,0
1543,961,0
1544,962,0
1545,963,0
1546,965,0
1547,966,0
1548,967,0
1549,968,0
1550,969,0
1551,970,0
1552,971,0
1553,972,0
1554,973,0
1555,974,0
1556,975,0
1557,976,0
1558,977,0
1559,978,0
1560,979,0
1561,980,0
1562,981,0
1563,982,0
1564,983,0
1565,984,0
1566,984,0
1567,985,0
1569,986,0
1570,987,0
1571,988,0
1572,989,0
1573,989,0
1574,991,0
1575,992,0
1576,992,0
1577,994,0
1578,995,0
1579,996,0
1580,997,0
1581,998,0
1582,999,0
1583,1000,0
1584,1001,0
1585,1002,0
1586,1003,0
1587,1004,0
1588,1005,0
1589,1006,0
1590,1007,0
1591,1008,0
1592,1008,0
1593,1008,0
1594,1011,0
1595,1012,0
1596,1013,0
1597,1014,0
1598,1015,0
1599,1016,0
1600,1017,0
1601,1018,0
1602,1019,0
1603,1020,0
1604,1021,0
1605,1022,0
1606,1023,0
1607,1024,0
1608,1025,0
1609,1026,0
1610,1027,0
1611,1028,0
1612,1029,0
1613,1030,0
1614,1031,0
1615,1032,0
1616,1033,0
1617,1034,0
1618,1035,0
1619,1037,0
1620,1038,0
1621,1039,0
1622,1040,0
1623,1041,0
1624,1042,0
1625,1043,0
1626,1044,0
1627,1044,0
1628,1046,0
1629,1046,0
1630,1048,0
1636,1112,0
1637,1122,0
1638,7003,0
1639,7004,0
1641,7004,0
1642,1118,0
1643,4208,0
1644,1123,0
1645,1123,0
1647,1124,0
1648,1125,0
1649,1126,0
1650,1127,0
1651,1128,0
1652,1129,0
1653,1130,0
1654,1131,0
1655,1132,0
1656,1133,0
1657,1134,0
1658,1135,0
1659,1136,0
1660,1137,0
1661,1138,0
1662,1139,0
1664,1140,0
1665,1141,0
1666,1141,0
1667,1143,0
1668,1144,0
1669,1144,0
1670,1146,0
1671,1146,0
1672,1148,0
1673,1149,0
1675,1150,0
1676,1151,0
1678,1152,0
1679,1153,0
1680,1153,0
1681,1154,0
1682,1155,0
1683,1156,0
1684,1157,0
1685,1158,0
1686,1159,0
1687,1160,0
1688,1160,0
1689,1162,0
1690,1163,0
1691,1164,0
1692,1165,0
1693,1166,0
1694,1167,0
1695,1167,0
1696,1169,0
1697,1169,0
1698,1170,0
1699,1171,0
1700,1172,0
1701,1173,0
1702,1174,0
1703,1175,0
1704,1176,0
1705,1177,0
1706,1178,0
1707,1179,0
1708,1180,0
1709,1181,0
1711,1182,0
1712,1183,0
1713,1184,0
1714,1185,0
1715,1186,0
1716,1187,0
1717,1188,0
1718,1189,0
1720,1190,0
1721,1191,0
1722,1192,0
1724,1193,0
1725,1194,0
1726,1195,0
1727,1196,0
1728,1197,0
1729,1197,0
1730,1199,0
1731,1200,0
1732,1201,0
1733,1202,0
1734,1203,0
1735,1204,0
1736,1205,0
1737,1206,0
1738,1207,0
1739,1208,0
1740,1209,0
1741,1210,0
1742,1211,0
1743,1212,0
1744,1213,0
1745,1214,0
1746,1215,0
1747,1216,0
1748,1217,0
1749,1218,0
1750,1219,0
1751,1220,0
1752,1221,0
1753,1222,0
1754,1223,0
1755,1224,0
1756,1225,0
1758,1226,0
1759,1227,0
1760,1228,0
1761,1229,0
1763,1230,0
1764,1231,0
1765,1232,0
1766,1233,0
1767,1234,0
1768,1235,0
1769,1236,0
1770,1237,0
1771,1238,0
1772,1238,0
1773,1240,0
1774,1241,0
1775,1242,0
1776,1243,0
1777,1244,0
1778,1245,0
1779,1246,0
1780,1247,0
1781,1247,0
1782,1249,0
1783,1250,0
1784,1251,0
1785,1252,0
1786,1253,0
1787,1254,0
1788,1255,0
1789,1256,0
1790,1257,0
1791,1258,0
1792,1258,0
1793,1260,0
1794,1261,0
1795,1262,0
1796,1263,0
1797,1264,0
1798,1265,0
1799,1266,0
1800,1267,0
1801,1268,0
1802,1269,0
1803,1270,0
1804,1271,0
1805,1272,0
1807,1273,0
1808,1274,0
1809,1275,0
1810,1276,0
1811,1277,0
1812,1278,0
