id,product_id,store_id,quantity,type,cost_price
3142,F1DN-163,ST,1,+,13
3143,B2A51,ST,1,+,4.4
3144,MIT-FE85-S,ST,2,+,10.8
3145,30L1700020,ST,2,+,82
3146,ACA223D002,ST,4,+,2.94
3147,TSJ423J007,ST,1,-,0
3148,1204E00-B,ST,2,+,741
3149,MIT-FE85-S,ST,1,+,10.8
3150,B2B54,ST,1,+,7.9
3151,60-60045,WD,2,-,0
3152,TCP11FOR,ST,1,+,2.76
3153,MIT-FE83/70-P,ST,1,+,46.04
3154,ETR.1554,ST,85,-,0
3155,51904,ST,12,-,0
3156,F5-TU73-A,ST,1,-,0
3157,SSA431J016,ST,2,-,0
3158,MIT-FE83/70-P,ST,1,+,46.04
3159,45863,ST,13,+,8.4
3160,ACA214B004,ST,6,+,41.85
3161,MIT-FE83/70-P,ST,1,+,46.04
3162,ACA272C009,ST,2,+,121.5
3163,MIT-639-B,ST,1,+,121.5
3164,SSA551A105,ST,11,+,27.68
3165,SAA512A117,ST,1,+,31.13
3166,127301,ST,6,+,9.35
3167,53766,ST,7,+,5.04
3168,53766,ST,7,+,5.04
3169,TDJ430DL2,ST,2,+,6085.46
3170,E2415325P,ST,6,+,7.9
3171,5380504,ST,2,+,10.14
3172,DSP-08,ST,84,-,0
3173,SSA352F043,ST,1,+,12.79
3174,TCP11FOR,ST,3,+,2.76
3175,45864,ST,1,+,6.72
3176,45864,ST,1,+,6.72
3177,SSA512A025A,DL,1,-,0
3178,TCP11FOR,ST,1,-,0
3179,R50TS050-10,ST,78,+,3.57
3180,SSA431J016,ST,1,+,263.25
3181,SSA431J016,ST,1,+,263.25
3182,SSA932B063A,ST,20,-,0
3183,ACA272C008,ST,1,+,118.13
3184,ACA272C009,ST,1,+,121.5
3185,TCP11COR,WP,1,-,0
3186,TCP11COR,ST,1,+,7.38
3187,TD21DLCN1,ST,1,-,0
3188,TCP11H2,ST,1,+,300
3189,30L1700010,ST,2,+,74.5
3190,TCP11COR,ST,10,+,7.38
3191,B2A50.5,ST,2,+,4.3
3192,SSA431J016,ST,1,+,263.25
3193,SSA431J016,ST,1,+,263.25
3194,TSJ423A001,ST,1,+,44.2
3195,MM431338,ST,1,+,18
3196,16-9-6-TFT,ST,1,+,220
3197,VCP008510,ST,3,-,0
3198,TCP11COR,ST,1,-,0
3199,MD703-856,ST,1,+,9
3200,30h45-00101,ST,9,+,1.5
3201,B4IPB,ST,173,+,7.57
3202,ACA272C008,ST,1,+,118.13
3203,SSA925A057,ST,1,-,0
3204,SSA925A057,ST,1,-,0
3205,F5-TU42-O,ST,1,+,5
3206,F5-TU42-O,ST,1,+,5
3207,29815,ST,1,+,8.98
3208,SSA387B121B,ST,1,-,0
3209,TCP11COR,ST,17,+,7.38
3210,TCP11COR,ST,17,+,7.38
3211,MIT-FE83/70-P,ST,20,+,46.04
3212,70465,ST,2,-,0
3213,ACA932C002D,ST,35,+,3.72
3214,38623737,ST,2,+,19.65
3215,F3Y-730-7/M,ST,1,-,0
3216,R50TS050-10,ST,1,+,3.57
3217,R50TS050-10,ST,21,+,3.57
3218,29144,ST,1,+,16.8
3219,29144,ST,1,-,0
3220,SSA521A024A,ST,3,+,8.5
