ES0252401,,ELECTRICAL STANDBY (INPUT : 230V  OUTPUT : DC 24V) FOR TD17 - TD30 AND TDJ25 -TDJ30,UNIT,Active,2011-12-01 14:49:33.050,STR006,2016-09-30 16:16:37.117,PROD001
ES0252402,,ELECTRICAL STANDBY (INPUT : 415V  OUTPUT : DC 24V)  FOR TD17 - TD30 AND TDJ25 -TDJ30,UNIT,Active,2011-12-01 15:25:09.593,STR006,2019-11-27 10:20:44.590,PROD001
ES0301201,,ELECTRICAL STANDBY (INPUT : 230V  OUTPUT : DC 12V)  FOR TD17 - TD30 AND TDJ25 -TDJ30,UNIT,Active,2011-12-01 16:05:04.967,STR006,2016-09-30 16:17:31.743,PROD001
ES0301202,,ELECTRICAL STANDBY (INPUT : 415V  OUTPUT : DC 12V),UNIT,Active,2011-12-01 16:52:23.627,STR006,2024-02-21 09:54:12.580,PROD003
ES0301203,,ELECTRICAL STANDBY (INPUT : 230V  OUTPUT : DC 12V)  FOR TD17 - TD30 AND TDJ25 -TDJ30,UNIT,Active,2014-04-03 13:38:04.023,PROD003,2024-08-30 11:49:30.227,PROD003
ES0301204,,ELECTRICAL STANDBY (INPUT : 415V  OUTPUT : DC 12V),UNIT,Active,2014-04-03 13:43:38.240,PROD003,2024-08-30 11:50:08.177,PROD003
ES0301204-LKM,,ELECTRICAL STANDBY (INPUT : 415V  OUTPUT : DC 12V),UNIT,Active,2022-01-14 14:16:36.937,PROD003,2024-08-30 11:51:07.403,PROD003
ES0302401,,ELECTRICAL STANDBY (INPUT : 230V  OUTPUT : DC 24V) FOR TD17 - TD30 AND TDJ25 -TDJ30,UNIT,Active,2011-12-01 16:29:28.213,STR006,2020-09-04 10:24:12.470,PROD001
ES0302402,,ELECTRICAL STANDBY (INPUT : 415V  OUTPUT : DC 24V),UNIT,Active,2011-12-01 17:11:56.287,STR006,2024-02-21 09:59:58.940,PROD003
ES0302403,,ELECTRICAL STANDBY (INPUT : 230V  OUTPUT : DC 24V) FOR TD17 - TD30 AND TDJ25 -TDJ30,UNIT,Active,2014-04-03 13:51:00.957,PROD003,2024-08-30 11:51:42.177,PROD003
ES0302404,,ELECTRICAL STANDBY (INPUT : 415V  OUTPUT : DC 24V),UNIT,Active,2014-04-03 13:54:26.330,PROD003,2024-08-30 11:52:17.120,PROD003
ES0302404-LKM,,ELECTRICAL STANDBY (INPUT : 415V  OUTPUT : DC 24V),UNIT,Active,2021-08-31 11:49:44.330,PROD003,2024-02-21 10:03:18.330,PROD003
