1040,B335BAD210DDX,1.0000
1041,CSCOCOFB511,1.0000
1041,F3Y-730-7/M,1.0000
1041,B36204-2RS,2.0000
1041,B2B58,1.0000
1041,B3BDU402240RR,1.0000
1041,C7-35612-74,8.0000
1041,B2A60,1.0000
1041,ACA272C082,1.0000
1041,R1047-0407,1.0000
1041,HC4/81200BSF,1.0000
1041,OAOR5/8,2.0000
1041,OAOR1/2,2.0000
1041,OAOR5/16,6.0000
1041,HC3/81200BSF,1.0000
1042,F5-TU73-A,1.0000
1042,F5-TU73-O,1.0000
1042,MM408992L,1.0000
1042,MM435190,1.0000
1043,C7-35612-74,8.0000
1043,B3BDU402240RR,1.0000
1043,B36204-2RS,1.0000
1043,B2A44,1.0000
1044,B2A60,1.0000
1044,B2B60,1.0000
1044,B36204-2RS,1.0000
1044,B36203-2RS,1.0000
1044,B330BG05S5G,1.0000
1045,B2A44,1.0000
1045,C7-35612-74,8.0000
1045,B3BDU402240RR,1.0000
1046,SSA387B114G,1.0000
1046,F1DN-164,1.0000
1046,HCHOCL-SS1600,1.0000
1046,BB24,1.0000
1046,OAOR1/2,2.0000
1046,OAOR3/8,2.0000
1046,F4-RC-0404,2.0000
1047,F5-TU73-O,1.0000
1047,F5-TU73-A,1.0000
1047,MM435190,1.0000
1047,MM408992L,1.0000
1048,ECEXVA3/8FLARE,1.0000
1049,TDJS35S-1L1,7.0000
1049,TDJS35S-1L2,4.0000
1049,TDJS35S-2L2,2.0000
105,B2A51,1.0000
105,B36204-2RS,2.0000
105,B3608-2RS,2.0000
105,B3BDU402240RR,2.0000
105,F5-TU73-A,1.0000
105,F5-TU73-O,1.0000
105,MM435190,1.0000
105,MM408992L,1.0000
105,OAOR-113-N70,3.0000
105,OAOR-59X3-N70,1.0000
105,TSJ502A083,1.0000
105,B2B58,1.0000
1050,F5-TU73-A,1.0000
1050,F5-TU73-O,1.0000
1050,MM408992L,1.0000
1050,MM435190,1.0000
1051,B2A61,1.0000
1051,B36204-2RS,1.0000
1052,ACA272C065,1.0000
1052,B2A44,1.0000
1052,B36204-2RS,1.0000
1053,SSA431J013A,2.0000
1053,F1DN-163,1.0000
1053,SSA382A133A,1.0000
1053,SAA382A008A,1.0000
1053,SSA387B114G,1.0000
1053,SSA382F108A,1.0000
1053,C42N7551,1.0000
1053,N32U0079,1.0000
1053,P42N0156,1.0000
1053,SV32F8101,1.0000
1053,SSA521A406,1.0000
1053,SSA521A425,3.0000
1054,77534,5.0000
1055,70609,1.0000
1055,5380909,1.0000
1055,56863,3.0000
1055,29725,2.0000
1056,38893,3.0000
1057,B2B28,1.0000
1058,070120783,6.0000
1058,070326243,6.0000
1059,070120783,2.0000
1059,070326243,2.0000
106,TCP24A-KT1,1.0000
106,B2B40,1.0000
106,SSA512K009,3.0000
106,B3608-2RS,6.0000
106,B36204-2RS,1.0000
1060,R22262,3.0000
1061,31B0123200,1.0000
1061,31B3201200,1.0000
1061,31A4610101,1.0000
1061,31B04-13201,1.0000
1061,MD115472,6.0000
1061,31A0420200,3.0000
1061,31A0430100,3.0000
1061,HCHOCLSMALL,2.0000
1061,MM409302,1.0000
1061,B2A38,1.0000
1061,OAOR-113-N70,3.0000
1061,MM432104,1.0000
1061,MM408992L,1.0000
1061,F5-TU73-A,1.0000
1061,F5-TU73-O,1.0000
1061,MM435190,1.0000
1061,30h45-00101,1.0000
1061,MM409326,1.0000
1061,B2B56,2.0000
1062,B36204-2RS,5.0000
1062,B335BAD210DDX,1.0000
1062,31B3000902,1.0000
1063,SAA512A130,2.0000
1064,B2A27,1.0000
1064,KHC-13,1.0000
1064,F5-TU73-A,1.0000
1064,F5-TU73-O,1.0000
1064,FEFU10AMP-44610,2.0000
1064,FEFU15AMP-44615,2.0000
1064,FEFU20AMP-44620,2.0000
1064,MM408992L,1.0000
1064,MM435190,1.0000
1064,SSA551A105A,1.0000
1064,TSJ505A030BK,1.0000
1064,MM4094100,1.0000
1065,B2B51,1.0000
1066,SSA512T040,2.0000
1067,CCCOR134-RM16/12V,1.0000
