TL,TL,0550252,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0550253,3.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,0550253,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0550254,9.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,0550254,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0550255,5.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,0550255,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0550256,9.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,0550256,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,055030,0.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,055030,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,055035,10.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,055035,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,056030,5.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,056030,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,056035,8.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,056035,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0570255,5.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,0570255,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,057030,12.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,057030,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,057035,20.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,057035,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0571,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0600,2.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,0600,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0605,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0610,0.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,0610,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,06152,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,06153,0.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,06153,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,06154,0.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,06154,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,06155,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,06156,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,06157,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,06158,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,06159,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0617,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0618,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,0620,4.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,068-3209,2.0000,0.0000,0.0000,0.0000,0.0000
WD,WD,068-3209,0.0000,0.0000,0.0000,0.0000,0.0000
ST,ST,068-3348,3.0000,0.0000,0.0000,0.0000,0.0000
TL,TL,068-3348,0.0000,0.0000,0.0000,0.0000,0.0000
WD,WD,068-3348,0.0000,0.0000,0.0000,0.0000,0.0000
