10,ST,WD,STR004
100,TL,ST,STR004
1000,ST,TL,STR001
1001,ST,TL,STR001
1002,ST,TL,STR001
1003,ST,TL,STR001
1004,ST,TL,STR001
1005,ST,TL,STR001
1006,ST,TL,STR001
1007,ST,TL,STR001
1008,ST,TL,STR001
1009,ST,TL,STR001
101,ST,TL,STR004
1010,ST,TL,STR001
1011,ST,TL,STR001
1012,ST,TL,STR001
1013,ST,TL,STR001
1014,ST,TL,STR004
1015,ST,TL,STR001
1016,ST,TL,STR001
1017,ST,TL,STR001
1018,ST,TL,STR004
1019,ST,TL,STR001
102,TL,ST,STR004
1020,ST,TL,STR001
1021,ST,TL,STR001
1022,ST,TL,STR001
1023,ST,TL,STR001
1024,TL,ST,STR004
1025,ST,TL,STR001
1026,ST,TL,STR001
1027,ST,TL,STR001
1028,ST,TL,STR001
1029,ST,TL,STR001
103,ST,TL,STR001
1030,ST,TL,STR004
1031,ST,TL,STR001
1032,ST,TL,STR001
1033,ST,TL,STR004
1034,ST,TL,STR001
1035,ST,TL,STR001
1036,ST,TL,STR001
1037,ST,TL,STR001
1038,ST,TL,STR001
1039,ST,TL,STR001
104,ST,TL,STR001
1040,ST,TL,STR001
1041,ST,TL,STR001
1042,ST,TL,STR001
1043,ST,TL,STR001
1044,ST,TL,STR001
1045,ST,TL,STR001
1046,ST,TL,STR001
1047,ST,TL,STR001
1048,ST,TL,STR001
1049,ST,TL,STR004
105,ST,TL,STR001
1050,ST,TL,STR001
1051,ST,TL,STR001
1052,ST,TL,STR001
1053,ST,TL,STR001
1054,ST,TL,STR004
1055,ST,TL,STR004
1056,ST,TL,STR004
1057,ST,TL,STR001
1058,ST,TL,STR001
1059,ST,TL,STR001
106,ST,TL,STR004
1060,ST,TL,STR001
1061,ST,TL,STR001
1062,ST,TL,STR001
1063,ST,TL,STR001
1064,ST,TL,STR001
1065,ST,TL,STR001
1066,ST,TL,STR001
1067,ST,TL,STR001
1068,ST,TL,STR001
1069,ST,WD,STR001
107,ST,TL,STR004
1070,ST,TL,STR001
1071,ST,TL,STR001
1073,ST,TL,STR001
1074,ST,TL,STR001
1075,ST,TL,STR001
1077,ST,TL,STR001
1078,ST,TL,STR001
1079,ST,TL,STR001
108,ST,TL,STR001
1080,ST,TL,STR001
1081,ST,TL,STR001
1082,ST,TL,STR001
1083,ST,TL,STR001
1084,ST,TL,STR004
