GB,AIRCON (GB) SERVICE CENTRE,1
KB,KAKI BUKIT SERVICE CENTRE,0
ST,HWEEJAN SINGAPORE,1
TL,TEMPORARY LOCATION,1
WD,WOODLANDS SERVICE CENTRE,1
